lobbyistName	lobbyistLastName	lobbyistFirstName	lobbystFirmName	lobbyistZip	primaryLobbyistID	annualLobbyistRegistrationId	clientName	clientZip	businessType	industryTradeType	incomeAmount	dateIncomeReceived	reportMonth	reportDueDate	fiscalYear	runDate
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	80223	Business Entity	Real Estate	7,500	12/30/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Teladoc	94965	Business Entity	Healthcare/Medical	5,000	12/30/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Bally's Corporation	02903	Business Entity	Gaming	4,500	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	80631	Government	Government/Civil	2,500	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	84060	Professional Association	Trade Association for Housing Manufacturers	4,500	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	80223	Business Entity	Real Estate	5,000	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Teladoc	94965	Business Entity	Healthcare/Medical	5,000	11/30/2023	November 	12/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	80631	Government	Government/Civil	2,500	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	84060	Professional Association	Trade Association for Housing Manufacturers	4,500	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	80223	Business Entity	Real Estate	5,000	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Teladoc	94965	Business Entity	Healthcare/Medical	5,000	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	80631	Government	Government/Civil	2,500	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	84060	Professional Association	Trade Association for Housing Manufacturers	4,500	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	80223	Business Entity	Real Estate	5,000	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	80631	Government	Government/Civil	2,500	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	84060	Professional Association	Trade Association for Housing Manufacturers	4,500	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	80223	Business Entity	Real Estate	5,000	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	07/31/2023	July     	08/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	80631	Government	Government/Civil	2,500	07/31/2023	July     	08/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	84060	Professional Association	Trade Association for Housing Manufacturers	4,500	07/31/2023	July     	08/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	07/31/2023	July     	08/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	07/31/2023	July     	08/15/2023	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	80223	Business Entity	Real Estate	5,000	07/31/2023	July     	08/15/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	80602	Organization	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	1,000	01/28/2024	January  	02/15/2024	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	80602	Trade	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	3,000	01/28/2024	January  	02/15/2024	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	80602	Organization	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	1,000	12/26/2023	December 	01/16/2024	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	80602	Trade	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	3,000	12/26/2023	December 	01/16/2024	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	80602	Organization	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	1,000	11/22/2023	November 	12/15/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	80602	Trade	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	3,000	11/22/2023	November 	12/15/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	80602	Organization	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	500	10/27/2023	October  	11/15/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	80602	Trade	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	1,000	10/27/2023	October  	11/15/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	80602	Organization	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	1,000	09/25/2023	September	10/16/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	80602	Trade	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	3,000	09/28/2023	September	10/16/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	80602	Organization	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	1,000	07/30/2023	July     	08/15/2023	2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	80602	Trade	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	3,000	07/28/2023	July     	08/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	40	01/26/2024	January  	02/15/2024	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	26	01/24/2024	January  	02/15/2024	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	26	01/18/2024	January  	02/15/2024	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	12	12/08/2023	December 	01/16/2024	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	23	11/22/2023	November 	12/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	23	10/03/2023	October  	11/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	23	09/29/2023	September	10/16/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	23	09/28/2023	September	10/16/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	46	09/26/2023	September	10/16/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	70	09/25/2023	September	10/16/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	12	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	280	08/14/2023	August   	09/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	94	08/04/2023	August   	09/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	23	07/07/2023	July     	08/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	12	07/06/2023	July     	08/15/2023	2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	80218	Organization	Healthcare/Medical	46	07/05/2023	July     	08/15/2023	2023-2024	02/28/2024
Alarcon, Arthur Michael (Americans for Prosperity)	Alarcon	Arthur	Americans for Prosperity	80203	20235004481	20235076038	Americans for Prosperity	80203	Organization	Educational	250	08/18/2023	August   	09/15/2023	2023-2024	02/28/2024
Alarcon, Arthur Michael (Americans for Prosperity)	Alarcon	Arthur	Americans for Prosperity	80203	20235004481	20235076038	Americans for Prosperity	80203	Organization	Educational	500	07/21/2023	July     	08/15/2023	2023-2024	02/28/2024
Alderman, Cathy Alderman	Alderman	Cathy		80205	20135030409	20235077162	Colorado Coalition for the Homeless	80205	Organization	Nonprofit housing and healthcare provider	1,600	02/01/2024	January  	02/15/2024	2023-2024	02/28/2024
Alderman, Cathy Alderman	Alderman	Cathy		80205	20135030409	20235077162	Colorado Coalition for the Homeless	80205	Organization	Nonprofit housing and healthcare provider	750	01/01/2024	December 	01/16/2024	2023-2024	02/28/2024
Alderman, Cathy Alderman	Alderman	Cathy		80205	20135030409	20235077162	Colorado Coalition for the Homeless	80205	Organization	Nonprofit housing and healthcare provider	500	12/01/2023	November 	12/15/2023	2023-2024	02/28/2024
Alderman, Cathy Alderman	Alderman	Cathy		80205	20135030409	20235077162	Colorado Coalition for the Homeless	80205	Organization	Nonprofit housing and healthcare provider	500	11/01/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, Jamee Lynn	Allen	Jamee		80120	20125000889	20245013282	FREEPORT-MCMORAN COPPER AND GOLD, INC.	85004	Industry	Mining	5,000	01/15/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, Jimmy	Allen	Jimmy		80212	20205000004	20245003586	Colorado Professional Firefighters	80212	Trade	Firefighters/Paramedics	2,000	01/02/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Catholic Conference	80210	Organization	Clergy/Faith-based	700	01/10/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	80237	Professional Association	Financial/Investment	467	01/10/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	80127	Business Entity	Energy	350	01/03/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Learning Network	80228	Business Entity	Education	1,200	01/22/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	01/04/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	667	01/02/2024	January  	02/15/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Catholic Conference	80210	Organization	Clergy/Faith-based	700	12/08/2023	December 	01/16/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	80237	Professional Association	Financial/Investment	467	12/15/2023	December 	01/16/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	80127	Business Entity	Energy	350	12/15/2023	December 	01/16/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	GCC of America	80246	Business Entity	Construction/Engineering	1,067	12/15/2023	December 	01/16/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	12/06/2023	December 	01/16/2024	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	80127	Business Entity	Energy	350	11/15/2023	November 	12/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	11/15/2023	November 	12/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	667	11/17/2023	November 	12/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	667	11/08/2023	November 	12/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Catholic Conference	80210	Organization	Clergy/Faith-based	1,400	10/12/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	80237	Professional Association	Financial/Investment	467	10/12/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	80127	Business Entity	Energy	350	10/04/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	GCC of America	80246	Business Entity	Construction/Engineering	367	10/27/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	10/06/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	667	10/24/2023	October  	11/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	80237	Professional Association	Financial/Investment	467	09/12/2023	September	10/16/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	80127	Business Entity	Energy	350	09/05/2023	September	10/16/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	GCC of America	80246	Business Entity	Construction/Engineering	367	09/15/2023	September	10/16/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	09/08/2023	September	10/16/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	667	09/12/2023	September	10/16/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	80237	Professional Association	Financial/Investment	467	08/17/2023	August   	09/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	80127	Business Entity	Energy	350	08/03/2023	August   	09/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	GCC of America	80246	Business Entity	Construction/Engineering	367	08/18/2023	August   	09/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	08/04/2023	August   	09/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	667	08/03/2023	August   	09/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Catholic Conference	80210	Organization	Clergy/Faith-based	700	07/26/2023	July     	08/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	80237	Professional Association	Financial/Investment	467	07/11/2023	July     	08/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	GCC of America	80246	Business Entity	Construction/Engineering	333	07/21/2023	July     	08/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	80528	Organization	Energy	350	07/08/2023	July     	08/15/2023	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	60606	Industry	Transportation	2,667	07/06/2023	July     	08/15/2023	2023-2024	02/28/2024
Alvidrez, Tiffani	Alvidrez	Tiffani		94965	20215023964	20235078488	Maplebear Inc. d/b/a Instacart	94965	Business Entity	App Based Delivery Service	1,183	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
Alvidrez, Tiffani	Alvidrez	Tiffani		94965	20215023964	20235078488	Maplebear Inc. d/b/a Instacart	94965	Business Entity	App Based Delivery Service	1,873	10/31/2023	October  	11/15/2023	2023-2024	02/28/2024
Alvidrez, Tiffani	Alvidrez	Tiffani		94965	20215023964	20235078488	Maplebear Inc. d/b/a Instacart	94965	Business Entity	App Based Delivery Service	1,183	09/30/2023	September	10/16/2023	2023-2024	02/28/2024
Alvidrez, Tiffani	Alvidrez	Tiffani		94965	20215023964	20235078488	Maplebear Inc. d/b/a Instacart	94965	Business Entity	App Based Delivery Service	690	08/31/2023	August   	09/15/2023	2023-2024	02/28/2024
Amaha, Naomi	Amaha	Naomi		80203	20225021798	20235103795	The Denver Foundation	80203	Organization	Community Foundation	682	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
