lobbyistName	lobbyistLastName	lobbyistFirstName	lobbyistFirmName	lobbyistZip	primaryLobbyistID	annualLobbyistRegistrationID	clientName	clientAdress	clientCity	clientState	clientZip	clientPhone	industryTradeType	businessType	clientBeginDate	clientEndDate	clientStatus	ceoNames	fiscalYear	runDate
76 Group			76 Group	80231	20135004567	20235079376	Colorado Mesa University	1100 North Avenue	Grand Junction	CO	81501	970-248-1498	Education	Government	01/01/2013	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Municipal Judges Association	75 S. Frontage Road	Vail	CO	81657	970-479-2132	Trade Assoc for Municipal Judges	Professional Association	09/15/2022	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	6295 Greenwood Plaza Blvd, Suite 100	Greenwood Village	CO	80111	303-261-8147	Small Association of Concerned Citizens	Organization	01/01/2013		Active  		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Community Choice Financial	5165 Emerald Parkway, Suite 100	Dubliin	OH	43017	800-837-0381	Financial/Investment	Business Entity	04/15/2022		Active  		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Covidien	15 Hampshire Street	Mansfield	MA	02048	508-261-8000	Healthcare/Medical	Business Entity	10/25/2013	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	DreamCorps c/o Multistate Associates LLC.	1000 Wilson Boulevard, Suite 1800	Arlington	VA	22209	571-547-2638	Political Organizations	Organization	02/01/2023	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Extraction Oil and Gas	370 17th Street, Suite 5300	Denver	CO	80202	720-557-8300	Energy	Business Entity	10/16/2017	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Forward Global on behalf of Vapor Technology Association	1201 Pennsylvania Ave NW, Suite 530	Washington	DC	20004		Merchandise/Retail	Professional Association	02/04/2024		Active  	Abbooud, Tony	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	GEICO	5260 Western Ave	Chevy Chase	MD	20815	301-986-3880	Insurance	Business Entity	06/07/2021	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Johnson Controls	10289 W Centennial Road	Littleton	CO	80127	303-973-5930	Manufacturing	Business Entity	01/05/2022		Active  		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Kinder Morgan	1001 Louisiana St, Suite 1000	Houston	TX	77002	713-369-9000	Energy	Business Entity	01/01/2022	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Let Colorado Vote	1200 17th Street	Suite 1500	CO	80202	720-242-9719	Political Organizations	Organization	05/05/2017	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	4747 McLane Parkway	Temple	TX	76504	254-771-7954	Transportation	Business Entity	02/13/2020		Active  		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Mile High Racing and Entertainment	10750 E Iliff Ave	Aurora	CO	80014	3036967315	Gaming	Business Entity	01/01/2013	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Moneytree c/o MultiState Associates Inc.	6720 Fort Dent Way, Suite #230	Seattle	WA	98188	800-745-1011	Financial/Investment	Business Entity	02/27/2014	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Motorcycle Safety Foundation c/o MutliState Associates, Inc.	515 King Street, Suite 300	Alexandria	VA	22214	703-684-1110	Transportation	Trade	05/12/2015	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Phillips 66	P.O. Box 421959	Houston	TX	77242-1959	281-293-6600	Energy	Business Entity	01/25/2019	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	RedT Homes	1335 S Inca St	Denver	CO	80223	303-997-4001	Real Estate	Business Entity	02/01/2023	01/01/2024	Inactive	Adams, Nathans	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Synthetic Turf Council	2331 Rock Spring Road	Forest Hill	MD	21050	443-640-1067	Construction/Engineering	Professional Association	01/17/2024		Active  		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Teladoc	28 Liberty Ship Way, Suite 2815	Sausalito	CA	94965	415-903-2800	Healthcare/Medical	Business Entity	10/20/2020		Active  		2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	COLORADO OHV COALITION	13670 CHERRY WAY	THORNTON	CO	80602	303-722-1327	COHVCO IS AN ADVOCACY AND EDUCATIONAL ORGANIZATION THAT FAVORS RESPONSIBLE USE AND ACCESS BY MOTORIZED RECREATIONISTS ON PUBLIC LANDS	Organization	07/09/2010		Active  		2023-2024	02/28/2024
ABBOUD, GERALD P	ABBOUD	GERALD		80602	20055001441	20235077742	POWERSPORTS DEALERS ASSN. OF CO	13670 CHERRY WAY	THORNTON	CO	80602	303-722-1327	PDAC IS THE TRADE ASSOCIATION FOR THE MOTORYCLE, OHV AND PERSONAL WATERCRAFT RETAILERS IN COLORADO.	Trade	07/09/2010		Active  		2023-2024	02/28/2024
Adam, Fox Bennett	Adam	Fox		80203	20205018704	20235078044	Colorado Consumer Health Initiative	1420 N Ogden Street, Suite A1	Denver	CO	80218	303-839-1261	Healthcare/Medical	Organization	01/01/2020		Active  		2023-2024	02/28/2024
Agrawal, Poonum	Agrawal	Poonum		94070	20235024331	20235076213	ENEL North America, Inc.	100 Brickstone Square, Suite 300	Andover	MA	01810	978-681-1900	Energy	Organization	02/01/2023	08/09/2023	Inactive		2023-2024	02/28/2024
Agullana, Zeny	Agullana	Zeny		94105	20195030540	20235076350	Teachers Insurance and Annuity Association (TIAA)	560 Mission Street, 10th Floor	San Francisco	CA	94105	916-335-3708	Financial/Investment	Organization	09/19/2019		Active  		2023-2024	02/28/2024
al-Ansari, Ahmad (al Ansari and Associates, LLC)	al-Ansari	Ahmad	al Ansari and Associates, LLC	80226	20185034710	20235075659	al Ansari and Associates LLC	5410 West 3rd Place, Unit #3, Dwnstrs LkWd, CO 80226	Lakewood	CO	80226	720-692-2569	Real Estate	Business Entity	01/22/2023		Active  	Al-Ansari, Ahmad	2023-2024	02/28/2024
al-Ansari, Ahmad (al Ansari and Associates, LLC)	al-Ansari	Ahmad	al Ansari and Associates, LLC	80226	20185034710	20235075659	Commonwealth Property Management, LLC	5410 West 3rd Place, Unit #3, Dwnstrs LkWd, CO 80226	Lakewood	CO	80226	720-692-2569	Real Estate	Business Entity	01/22/2023		Active  	Al-Ansari, Ahmad; Al-Ansari, Ahmad	2023-2024	02/28/2024
al-Ansari, Ahmad (al Ansari and Associates, LLC)	al-Ansari	Ahmad	al Ansari and Associates, LLC	80226	20185034710	20235075659	Global Islamic Real Estate Investment Group LLC	5410 W. 3rd Place, 3	Lakewood	CO	80226	720-692-2569	Financial/Investment	Business Entity	01/22/2023		Active  	Al-Ansari, Ahmad	2023-2024	02/28/2024
al-Ansari, Ahmad (al Ansari and Associates, LLC)	al-Ansari	Ahmad	al Ansari and Associates, LLC	80226	20185034710	20235075659	Rocky Mountain Eco-Services LLC	5410 West 3rd Place, #3, Dwnstrs Unit	Lakewood	CO	80226		Transportation	Business Entity	08/01/2021		Active  	Al-Ansari, Ahmad	2023-2024	02/28/2024
Alarcon, Arthur Michael (Americans for Prosperity)	Alarcon	Arthur	Americans for Prosperity	80203	20235004481	20235076038	Americans for Prosperity	789 Sherman Street, Suite 550	Denver	CO	80203	720-646-2155	Educational	Organization	01/01/2023		Active  		2023-2024	02/28/2024
Alderman, Cathy Alderman	Alderman	Cathy		80205	20135030409	20235077162	Colorado Coalition for the Homeless	2111 Champa Street	Denver	CO	80205	303-293-2217	Nonprofit housing and healthcare provider	Organization	01/08/2016		Active  		2023-2024	02/28/2024
Allan, Nick Stall (Western Colorado Alliance)	Allan	Nick	Western Colorado Alliance	81501	20205070755	20235079172	Western Colorado Alliance	2481 Commerce Blvd	Grand Junction	CO	81502	970-256-7650	Community Organizing	Organization	09/21/2020		Active  		2023-2024	02/28/2024
Allen, George	Allen	George		98115	20235104615	20235104615	The Coca-Cola Company	One Coca-Cola Plaza NW	Atlanta	GA	30313	206-859-9062	Manufacturing	Organization	12/01/2023		Active  		2023-2024	02/28/2024
Allen, Jamee Lynn	Allen	Jamee		80120	20125000889	20245013282	FREEPORT-MCMORAN COPPER AND GOLD, INC.	333 North Central Avenue	Phoenix	AZ	85004	602-366-8100	Mining	Industry	01/01/2012		Active  		2023-2024	02/28/2024
Allen, Jimmy	Allen	Jimmy		80212	20205000004	20245003586	Colorado Professional Firefighters	12 Lakeside Lane	Denver	CO	80212		Firefighters/Paramedics	Trade	12/01/2020		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Big Brothers Big Sisters of Colorado	1391 N. Speer Blvd, #450	Denver	CO	80204	303-433-6002	Nonprofit organization	Organization	01/20/2023	12/06/2023	Inactive	Ryan, Dave	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Catholic Conference	Catholic Pastoral Center, 1300 S Steele St	Denver	CO	80210	303-715-2041	Clergy/Faith-based	Organization	01/20/2023		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Education Solutions	165 S Union Blvd, Ste. 777	Denver	CO	80228	720-735-7253	Education	Organization	01/20/2023		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Gaming Association	225 East 16th Avenue, Suite 260	Denver	CO	80203	303-237-5480	Gaming	Professional Association	01/20/2023		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Mortgage Lenders Association	4380 S Syracuse St, #315	Denver	CO	80237	303-331-4451	Financial/Investment	Professional Association	01/20/2023		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Colorado Natural Gas	P.O. Box 270868	Littleton	CO	80127	303-979-7580	Energy	Business Entity	01/20/2023		Active  	Earnest, Michael P	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	GCC of America	600 S Cherry St, 10th Floor	Glendale	CO	80246	303-739-5900	Construction/Engineering	Business Entity	01/20/2023		Active  	Escalante, Enrique	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Institute of Cannabis Research	2200 Bonforte Blvd, Admin 310	Pueblo	CO	81001	719-549-2294	Government/Civil	Government	01/20/2023		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Learning Network	200 Union Blvd, Ste 200	Denver	CO	80228	302-209-9773	Education	Business Entity	01/20/2023		Active  	Sirianni, Dom	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	MEM Westminster Property, LLP	999 S Logan St, Suite 300	Denver	CO	80209	303-778-0380	Real Estate	Business Entity	01/20/2023		Active  	Mendel, Neal	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Mendel Development Company, LLC	3460 S Columbine Cir	Englewood	CO	80113	303-263-9689	Real Estate	Business Entity	01/20/2023		Active  	Mendel, Neal	2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	Poudre Valley Rural Electric Association	7649 REA Parkway	Fort Collins	CO	80528	800-432-1012	Energy	Organization	01/20/2023		Active  		2023-2024	02/28/2024
Allen, JoVanni Mytchl (Recht Kornfeld P.C.)	Allen	JoVanni	Recht Kornfeld P.C.	80202	20235000757	20235081334	United Airlines, Inc.	233 S Wacker Drive	Chicago	IL	60606	872-825-1618	Transportation	Industry	01/20/2023		Active  		2023-2024	02/28/2024
Alusic, Lorin	Alusic	Lorin		94901	20235102067	20235102067	Cisco Systems, Inc.	c/o 2350 Kerner Blvd., Ste. 250	San Rafael	CA	94901	415-389-6800	Science/Technology	Business Entity	12/04/2023		Active  	Robbins, Chuck	2023-2024	02/28/2024
Alvarez, Andres Alvarez (Fulcrum Group)	Alvarez	Andres	Fulcrum Group	80222	20235098072	20235098072	ABCDelivery LLC	1965 Kingston St.	Aurora	CO	80010	720-761-4045	Cannabis	Business Entity	11/01/2023		Active  	Diaz-Rivera, Michael	2023-2024	02/28/2024
Alvidrez, Tiffani	Alvidrez	Tiffani		94965	20215023964	20235078488	Maplebear Inc. d/b/a Instacart	28 Liberty Ship Way, Suite 2815	Sausalito	CA	94965	415-903-2800	App Based Delivery Service	Business Entity	03/15/2021		Active  	Mehta, Apoorva	2023-2024	02/28/2024
Amaha, Naomi	Amaha	Naomi		80203	20225021798	20235103795	The Denver Foundation	1009 Grant Street	Denver	CO	80203	303-300-1790	Community Foundation	Organization	02/01/2022		Active  		2023-2024	02/28/2024
Amn, Khatira (Spring Institute for Intercultural Learning)	Amn	Khatira	Spring Institute for Intercultural Learning	80203	20235100466	20235100466	Spring Institute for Intercultural Learning	1373 grant st	Denver	CO	80203	303-863-0188	Non profit	Organization	11/22/2023		Active  		2023-2024	02/28/2024
Anaya, Toney	Anaya	Toney		94965	20205115789	20235078149	DoorDash, Inc.	28 Liberty Ship Way #2815	Sausalito	CA	94965	415-903-2800	Technology	Business Entity	10/15/2020		Active  	Xu, Tony	2023-2024	02/28/2024
Anderson, Nathan	Anderson	Nathan		84119	20205003746	20235075731	Union Pacific Railroad	650 Davis Rd	Salt Lake City	UT	84119	801-212-5415	Transportation	Business Entity	01/21/2020		Active  	Fritz, Lance M.	2023-2024	02/28/2024
Anderson, Polly	Anderson	Polly		80203	20165020121	20235078799	Colorado Community Health Network	600 Grant Street Suite 800	Denver	CO	80203	303-867-9537	Healthcare/Medical	Organization	07/01/2016		Active  		2023-2024	02/28/2024
Anshus, Bridget Rose	Anshus	Bridget		80203	20225086088	20245003342	Mental Health Colorado	303 East 17th Avenue	Denver	CO	80203		Advocacy Organization	Organization	10/01/2022		Active  		2023-2024	02/28/2024
Apodaca, True	Apodaca	True		80212	20195028518	20245003022	Service Employees International Union (SEIU)	2525 W. Alameda Ave	Denver	CO	80219	303-698-7963	Labor Unions	Organization	06/30/2021		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	American Academy of Pediatrics ( AAP)	P.O. Box 4834	Englewood	CO	80155	303-770-6048	Healthcare/Medical	Professional Association	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Association of Colorado Centers for Independent Living (ACCIL)	110 16th Street, Suite 1400	Denver	CO	80202	303-358-4485	Healthcare/Medical	Organization	10/01/2023		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Avaya	2605 Meridian Parkway, #200	Durham	NC	27713	786-331-0108	Science/Technology	Organization	03/02/2021		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Aveanna Healthcare	8000 E. Prentice Ave., #B11	Greenwood Village	CO	80111	303-747-4018	Healthcare/Medical	Organization	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	CCRA	8020 Schaffer Pkwy #300	Littleton	CO	80127	720-750-8034	Attorney/Legal	Organization	10/16/2022		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Children's Hospital Colorado (CHCO)	13123 E. 16th Avenue, #B015	Aurora	CO	80045	720-777-8387	Healthcare/Medical	Business Entity	12/08/2010		Active  	Biester, Doris	2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	City and County of Broomfield (CCOB)	One DesCombes Drive	Broomfield	CO	80020	303-438-6223	Government/Civil	Government	02/02/2023		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Access (COA)	1065 E. Harvard Street, #600	Denver	CO	80231	720-744-5100	Insurance	Professional Association	12/08/2010		Active  	Rohlfing, Sheri	2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Association of Medical Equipment Services (CAMES)	110 16th Street, #1400	Denver	CO	80202	720-837-6591	Healthcare/Medical	Professional Association	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Coalition for Responsible Associations (CCRA)	4020 Shaffer Pkwy, #300	Littleton	CO	80127	720-750-8034	Attorney/Legal	Professional Association	09/13/2022		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Coalition for Responsible Associations (CCRA/HOA)	8020 Shaffer Pkwy, Suite 300	Littleton	CO	80127		Insurance	Organization	01/29/2024		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Independent Automobile Dealer Association (CIADA)	950 Wadsworth Blvd., #101	Lakewood	CO	80214	303-239-8000	Automotive	Trade	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Lawyers Committee (CLC)	1801 California Street, #4900	Denver	CO	80202	303-894-6363	Attorney/Legal	Professional Association	04/15/2018		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Long-Term Assistance Service Providers (CLASP)	1550 Dover Street	Lakewood	CO	80215	303-331-0818	Healthcare/Medical	Organization	12/01/2019	09/07/2023	Inactive		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Nonprofit Association (CNA)	789 Sherman Street #240	Denver	CO	80203	303-263-2698	General Business	Professional Association	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Radiological Society (CRS)	6025 S. Quebec Street, #365	Centennial	CO	80111	303-770-6048	Healthcare/Medical	Professional Association	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Society of Anesthesiology (CSA)	6025 S. Quebec Street, #365	Centennial	CO	80111	303-601-9294	Healthcare/Medical	Organization	08/01/2019		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Society of Oral & Maxillofacial Surgeons (CSOMS)	12429 East Harvard Drive	Aurora	CO	80014	845-612-4748	Healthcare/Medical	Organization	08/17/2021		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Colorado Women's Bar Association (CWBA)	P.O. Box 1918	Denver	CO	80201	303-831-1040	Attorney/Legal	Professional Association	12/08/2010	09/07/2023	Inactive		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Counties & Commissioners Acting Together (CCAT)	110 16th St, #1400	Denver	CO	80202	303-358-4485	Government/Civil	Government	03/08/2017		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Developmental Disabilities Resource Center (DDRC)	11177 W. 8th Avenue, Suite 300	Lakewood	CO	80215	303-233-3363	Healthcare/Medical	Organization	02/10/2011		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Dominion Diagnostics (DD)	211 Circuit Drive	North Kingston	RI	02852	401-667-0868	Healthcare/Medical	Organization	09/01/2022		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Donor Alliance (DA)	200 Spruce St, #200	Denver	CO	80230	303-329-4747	Healthcare/Medical	Organization	02/11/2011		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Dumb Friends League (DFL)	2080 S QUEBEC	DENVER	CO	80231	303-751-5772	Education	Organization	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Early Childhood Council Leadership Alliance (ECCLA)	4891 Independence St, #140	Wheat Ridge	CO	80033	720-588-2841	Healthcare/Medical	Organization	11/01/2017		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Great Outdoors Colorado (GOCO)	1900 Grant St, #725	Denver	CO	80203	303-226-4545	Environmental Services	Organization	10/01/2020		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Immunize Colorado (IZCO)	13123 E. 16th Ave, #B281	Aurora	CO	80045	720-777-5340	Healthcare/Medical	Professional Association	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Independent Higher Education of Colorado (IHEC)	1177 GRANT ST. #102	DENVER	CO	80203	303-571-5559	Education	Organization	12/08/2010	10/01/2023	Inactive		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Junior League of Denver (JLD)	1301 S Washington St	DENVER	CO	80210	303-692-0270	Nonprofit	Organization	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Marwood Group Advisory, LLC	733 Third Ave., 11th Floor	New York	NY	10017	202-731-0012	Healthcare Focused Advisory	Professional Association	12/12/2017		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	National Jewish Health (NJH)	1400 Jackson Street	Denver	CO	80206	303-398-1078	Healthcare/Medical	Organization	12/08/2010		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Northwest Mayors and Commissioners Coalition (NW MCC)	1777 Broadway	Boulder	CO	80306	303-604-4383	Transportation	Organization	01/01/2020		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Peak Health Alliance (PHA)	1628 Sts. John Road	Keystone	CO	80435	970-485-5980	Healthcare/Medical	Organization	10/08/2020		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Pediatrix Medical Group (PMG)	8301 E. Prentice Avenue, #405	Greenwood Village	CO	80111	303-224-9136	Healthcare/Medical	Organization	12/08/2010		Active  	Medel, Robert J	2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Raise the Future	1325 S Colorado Blvd	Denver	CO	80222		Healthcare/Medical	Organization	08/15/2022		Active  		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	Rocky Mtn Orthotics & Prosthetic Coalition (RMOPC)	1770 Lombardy Drive	Boulder	CO	80304	303-358-4485	Healthcare/Medical	Professional Association	02/02/2023	12/31/2023	Inactive		2023-2024	02/28/2024
Aponte Public Affairs, Inc.			Aponte Public Affairs, Inc.	80202	20017000580	20235078968	The Independence Center (TIC)	729 S. Tejon Street	Colorado Springs	CO	80903	719-471-8181	Healthcare/Medical	Organization	11/14/2014		Active  		2023-2024	02/28/2024
